17/11/2020 14:10:10							
Project	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	Application Rate^	Application Rate^
Project	No of Units	Number of Applicants	Elderly	Non-Elderly	Non-Elderly	Non-Elderly	Overall
Project	No of Units	Number of Applicants	Elderly	First Timers	Second Timers	Singles	Overall
Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates
Sembawang (Sun Sails)	220	34	0.1	0	0	0.3	0.2
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	464	24	0	0	0	0.1	0.1
Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates
Bishan (Bishan Ridges)	156	4	0	NA	NA	NA	0
Tampines (Tampines GreenEmerald)	146	13	0.1	0	0.7	NA	0.1
TOTAL	986	75	0	0	0	0.1	0.1
Project	Flat Type	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	
Project	Flat Type	No of Units	Number of Applicants	Non-Elderly	Non-Elderly	Non-Elderly	
Project	Flat Type	No of Units	Number of Applicants	First Timers	Second Timers	Overall	
Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	
Sembawang (Sun Sails)	3-room	84	11	0.1	0.2	0.1	
Sembawang (Sun Sails)	4-room	238	51	0.2	0.2	0.2	
Sembawang (Sun Sails)	5-room	184	41	0.2	0.2	0.2	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	3-room	218	9	0	0	0	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	4-room	570	68	0.1	0.4	0.1	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	5-room	327	53	0.1	0.5	0.2	
Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	
Bishan (Bishan Ridges)	3-room	124	22	0.1	1.3	0.2	
Bishan (Bishan Ridges)	4-room	1222	330	0.2	0.9	0.3	
Tampines (Tampines GreenEmerald)	4-room	360	58	0.2	0.3	0.2	
Tampines (Tampines GreenEmerald)	5-room	244	31	0.1	0.5	0.1	
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	3-room	184	7	0	0.3	0	
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	4-room	910	106	0.1	0.4	0.1	
Toa Payoh (Bartley Beacon)	5-room	144	82	0.3	5.6	0.6	
TOTAL	TOTAL	4809	869	0.2	0.5	0.2	
17/11/2020 17:10:42							
Project	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	Application Rate^	Application Rate^
Project	No of Units	Number of Applicants	Elderly	Non-Elderly	Non-Elderly	Non-Elderly	Overall
Project	No of Units	Number of Applicants	Elderly	First Timers	Second Timers	Singles	Overall
Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates	Non-Mature Towns /Estates
Sembawang (Sun Sails)	220	76	0.1	0	0	0.6	0.3
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	464	43	0	0	0	0.2	0.1
Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates	Mature Towns /Estates
Bishan (Bishan Ridges)	156	16	0.1	NA	NA	NA	0.1
Tampines (Tampines GreenEmerald)	146	20	0.1	0	0.7	NA	0.1
TOTAL	986	155	0.1	0	0	0.3	0.2
Project	Flat Type	No of Units	Number of Applicants	Application Rate^	Application Rate^	Application Rate^	
Project	Flat Type	No of Units	Number of Applicants	Non-Elderly	Non-Elderly	Non-Elderly	
Project	Flat Type	No of Units	Number of Applicants	First Timers	Second Timers	Overall	
Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	Non-Mature Towns/ Estates	
Sembawang (Sun Sails)	3-room	84	35	0.4	0.4	0.4	
Sembawang (Sun Sails)	4-room	238	98	0.4	0.5	0.4	
Sembawang (Sun Sails)	5-room	184	80	0.4	0.6	0.4	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	3-room	218	20	0.1	0.1	0.1	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	4-room	570	127	0.2	0.9	0.2	
Tengah (Garden Court @ Tengah / Garden Terrace @ Tengah *)	5-room	327	101	0.3	1.1	0.3	
Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	Mature Towns/ Estates	
Bishan (Bishan Ridges)	3-room	124	42	0.2	2.5	0.3	
Bishan (Bishan Ridges)	4-room	1222	560	0.4	2.1	0.5	
Tampines (Tampines GreenEmerald)	4-room	360	132	0.3	0.8	0.4	
Tampines (Tampines GreenEmerald)	5-room	244	59	0.2	1.3	0.2	
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	3-room	184	18	0.1	0.7	0.1	
Toa Payoh (Bartley Beacon / ParkView @ Bidadari)	4-room	910	199	0.2	0.7	0.2	
Toa Payoh (Bartley Beacon)	5-room	144	145	0.6	9.1	1	
TOTAL	TOTAL	4809	1616	0.3	1	0.3	
